UQ subtype name,serial,name,descr
J25A99,9,,
J25A99,6,,
J25A99,8,,
F1209,8,,
F1209,6,,
F1209,9,,
F1209,7,,
F694,1,,
F694,2,,
F694,3,,
F1210,19,,
F1210,12,,
F1210,20,,
F1210,14,,
F1210,15,,
F1210,17,,
F1210,18,,
F1210,4,,
F1210,9,,
F1211,15,,
F1211,12,,
F1211,8,,
F1211,14,,
F1211,2,,
F1211,10,,
F1211,17,,
J25A100,11,,
J25A100,8,,
J25A100,15,,
J25A100,26,,
J25A100,6,,
J25A100,9,,
J25A100,7,,
J25A100,5,,
J25A100,13,,
J25A100,14,,
J25A100,2,,
J25A108,8,,
J25A108,5,,
J25A108,4,,
J25A108,1,,
J25A108,10,,
J25A108,7,,
J25AC14,46,,
J25AC14,47,,
J25AC14,53,,
J25AC14,67,,
J25AC14,95,,
J25AC14,98,,
J25AC14,99,,
J25AC14,100,,
J25AC14,105,,
J25AC14,106,,
J25AC14,107,,
J25AC14,109,,
J25AC14,110,,
F671,20,,
F671,17,,
F671,21,,
F671,18,,
F671,22,,
F671,23,,
F1200,1,,
F1200,27,,
F1200,31,,
F1200,33,,
F1200,44,,
F1200,45,,
F1200,47,,
F1200,55,,
F1200,58,,
F1204,1,,
F1204,9,,
F1215,2,,
F1215,3,,
F1215,4,,
F1215,5,,
F660,352,,
F660,348,,
F660,343,,
F660,346,,
F660,350,,
F660,308,,
F660,351,,
F660,344,,
JXA252,15,,
JXA252,22,,
JXA252,23,,
JXA252,24,,
JXA252,19,,
JXA252,16,,
JXA252,20,,
2TAC74,20,,
F138,4,,
J25A50,11,,
J25AC2,60,,
J25A100,25,,
J25A16,16,,
J25A93,1,,
F1221,54,,
J25A93,6,,
J25A51,15,,
F660,306,,
J25AC14,104,,
J25AZ1,10,,
J25A77,19,,
F1220,5,,
J25A106,10,,
J25A33,0,,
F1220,12,,
J25A14,17,,
